"filename", "language", "Ignore", "CMake", "PL/SQL", "Docker", "C++", "Markdown", "Log", "CSV", "XML", "C", "Makefile", "Shell Script", "YAML", "comment", "blank", "total"
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\opmnlist.h", "C++", 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 18, 39, 248
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\orajson.h", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 20
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\orastruc.h", "C++", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 118, 69, 329
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\oratypes.h", "C++", 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 16, 68, 302
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\oraxml.h", "C++", 0, 0, 0, 0, 566, 0, 0, 0, 0, 0, 0, 0, 0, 5140, 262, 5968
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\oraxml.hpp", "C++", 0, 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 20, 50, 380
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\oraxmlcg.h", "C++", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 53
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\oraxsd.h", "C++", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 154, 20, 202
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\oraxsd.hpp", "C++", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 60
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ori.h", "C++", 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 1872, 64, 2096
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\orid.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 334, 11, 374
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\orl.h", "C++", 0, 0, 0, 0, 448, 0, 0, 0, 0, 0, 0, 0, 0, 3279, 272, 3999
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\oro.h", "C++", 0, 0, 0, 0, 358, 0, 0, 0, 0, 0, 0, 0, 0, 448, 102, 908
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ort.h", "C++", 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 2346, 168, 2732
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xa.h", "C++", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 104, 16, 201
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xml.h", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 50, 5, 61
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xml.hpp", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 21
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlctx.hpp", "C++", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 18, 42, 166
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmldav.h", "C++", 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 3994, 100, 4255
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmldf.h", "C++", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 374, 36, 482
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlerr.h", "C++", 0, 0, 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 0, 76, 33, 449
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlev.h", "C++", 0, 0, 0, 0, 716, 0, 0, 0, 0, 0, 0, 0, 0, 1158, 204, 2078
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlotn.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 50, 12, 91
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlotn.hpp", "C++", 0, 0, 0, 0, 1093, 0, 0, 0, 0, 0, 0, 0, 0, 7180, 705, 8978
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlproc.h", "C++", 0, 0, 0, 0, 1826, 0, 0, 0, 0, 0, 0, 0, 0, 8433, 996, 11255
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlsch.h", "C++", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 612, 49, 800
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlsoap.h", "C++", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 827, 46, 963
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlsoap.hpp", "C++", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 506, 51, 647
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlsoapc.hpp", "C++", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 27, 31, 180
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlurl.h", "C++", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 839, 78, 1085
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlxptr.h", "C++", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 186, 26, 254
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlxsl.h", "C++", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 590, 51, 729
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlxvm.h", "C++", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 1209, 63, 1372
"d:\Programming\web\tuongtac\backend\include\bac_lib\orcl\base_pobject.h", "C++", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 85, 19, 171
"d:\Programming\web\tuongtac\backend\include\bac_lib\orcl\oracle_query.h", "C++", 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 147, 25, 391
"d:\Programming\web\tuongtac\backend\include\bac_lib\service\email_service.cc", "C++", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 29
"d:\Programming\web\tuongtac\backend\include\bac_lib\service\email_service.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 39
"d:\Programming\web\tuongtac\backend\include\bac_lib\tool\finance.cc", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15
